frecuencia,X,Y,R,T
200,0.20101311802864075,-0.0026267513167113066,0.20103028416633606,-0.7486740946769714
400,0.20088185369968414,-0.005492822267115116,0.20095694065093994,-1.5662784576416016
600,0.20067495107650757,-0.008294107392430305,0.20084628462791443,-2.3667476177215576
800,0.20040108263492584,-0.011064674705266953,0.20070628821849823,-3.160243034362793
1000,0.20003722608089447,-0.013813371770083904,0.20051360130310059,-3.9502313137054443
1200,0.19962643086910248,-0.016542816534638405,0.20031070709228516,-4.737210750579834
1400,0.19911304116249084,-0.01924474723637104,0.20004090666770935,-5.52062463760376
1600,0.19853967428207397,-0.021924205124378204,0.1997465342283249,-6.301487922668457
1800,0.19788965582847595,-0.02457389421761036,0.1994096040725708,-7.078739166259766
2000,0.19716957211494446,-0.0271949153393507,0.19903619587421417,-7.853060722351074
2200,0.19638395309448242,-0.029782632365822792,0.1986294537782669,-8.62348747253418
2400,0.19553770124912262,-0.03233732655644417,0.19819356501102448,-9.390379905700684
2600,0.1946088671684265,-0.03485264629125595,0.19770513474941254,-10.153504371643066
2800,0.19365252554416656,-0.03733845055103302,0.19721932709217072,-10.913366317749023
3000,0.19261793792247772,-0.03978342562913895,0.19668348133563995,-11.66981029510498
3200,0.19152726233005524,-0.04218246787786484,0.19611744582653046,-12.420677185058594
3400,0.19039252400398254,-0.044539064168930054,0.19553270936012268,-13.166593551635742
3600,0.1892034411430359,-0.04685058817267418,0.1949177235364914,-13.9078369140625
3800,0.18794699013233185,-0.049110088497400284,0.1942572295665741,-14.643831253051758
4000,0.18665623664855957,-0.05131996423006058,0.19358277320861816,-15.373252868652344
4200,0.18530893325805664,-0.05347704887390137,0.19287092983722687,-16.097251892089844
4400,0.18392020463943481,-0.05558372288942337,0.19213587045669556,-16.815683364868164
4600,0.1825009286403656,-0.05764153599739075,0.1913873851299286,-17.52832794189453
4800,0.18104374408721924,-0.059648025780916214,0.1906166970729828,-18.235368728637695
5000,0.17952650785446167,-0.06159354746341705,0.18979866802692413,-18.9365234375
5200,0.1780114769935608,-0.06349866837263107,0.1889978051185608,-19.631879806518555
5400,0.17643830180168152,-0.06533791124820709,0.18814760446548462,-20.320390701293945
5600,0.17486366629600525,-0.06713307648897171,0.18730764091014862,-21.002626419067383
5800,0.17323312163352966,-0.0688638985157013,0.18641875684261322,-21.678884506225586
6000,0.17158445715904236,-0.07054084539413452,0.18551883101463318,-22.348270416259766
6200,0.16991962492465973,-0.07216553390026093,0.18460917472839355,-23.01112174987793
6400,0.16822844743728638,-0.07373148947954178,0.18367671966552734,-23.666969299316406
6600,0.1665484607219696,-0.07525598257780075,0.18276174366474152,-24.31613540649414
6800,0.1648382693529129,-0.07671953737735748,0.18181733787059784,-24.958354949951172
7000,0.16309183835983276,-0.0781186893582344,0.18083548545837402,-25.593761444091797
7200,0.16135597229003906,-0.07947491109371185,0.17986665666103363,-26.222270965576172
7400,0.15959839522838593,-0.08077287673950195,0.17887398600578308,-26.844005584716797
7600,0.15784859657287598,-0.08202546089887619,0.17788860201835632,-27.458480834960938
7800,0.15607179701328278,-0.08321687579154968,0.17687128484249115,-28.06636619567871
8000,0.15432031452655792,-0.08437396585941315,0.1758798509836197,-28.667438507080078
8200,0.15253084897994995,-0.08546119928359985,0.17484071850776672,-29.261383056640625
8400,0.1507662981748581,-0.0865110233426094,0.17382356524467468,-29.84758186340332
8600,0.14898806810379028,-0.08750578761100769,0.17278516292572021,-30.427169799804688
8800,0.14721347391605377,-0.08845383673906326,0.17174367606639862,-30.999727249145508
9000,0.14542846381664276,-0.08934690058231354,0.1706818789243698,-31.565322875976562
9200,0.14368294179439545,-0.09021542966365814,0.16965734958648682,-32.12382888793945
9400,0.14192037284374237,-0.09102489799261093,0.16860288381576538,-32.67530059814453
9600,0.14015507698059082,-0.09178539365530014,0.16753509640693665,-33.22016906738281
9800,0.138421893119812,-0.09252147376537323,0.16649577021598816,-33.75884246826172
10000,0.1366778165102005,-0.09320187568664551,0.16543100774288177,-34.29043960571289
10200,0.13496142625808716,-0.0938536748290062,0.1643870323896408,-34.81517791748047
10400,0.13323374092578888,-0.09445010870695114,0.1633158028125763,-35.333030700683594
10600,0.13154272735118866,-0.09502562135457993,0.16227556765079498,-35.84410095214844
10800,0.1298447698354721,-0.09554839879274368,0.1612115502357483,-36.34809875488281
11000,0.12817740440368652,-0.09604547172784805,0.16016922891139984,-36.84482955932617
11200,0.12651844322681427,-0.09650664776563644,0.1591240018606186,-37.33592224121094
11400,0.1248641237616539,-0.09693046659231186,0.1580713987350464,-37.82174301147461
11600,0.12323646992444992,-0.09733091294765472,0.15703672170639038,-38.30131912231445
11800,0.12161831557750702,-0.09768928587436676,0.1559942662715912,-38.77299118041992
12000,0.12001413106918335,-0.09801226109266281,0.15495094656944275,-39.237571716308594
12200,0.11844226717948914,-0.09831694513559341,0.153931125998497,-39.69549560546875
12400,0.11687328666448593,-0.09858352690935135,0.152898907661438,-40.147891998291016
12600,0.11533434689044952,-0.09883370995521545,0.15188848972320557,-40.59433364868164
12800,0.1138104498386383,-0.09905437380075455,0.1508793830871582,-41.03451919555664
13000,0.11228998005390167,-0.09923908114433289,0.1498580425977707,-41.469444274902344
13200,0.11078973859548569,-0.09940243512392044,0.14884626865386963,-41.898990631103516
13400,0.10930854082107544,-0.09954085946083069,0.1478402465581894,-42.32228088378906
13600,0.10785093903541565,-0.09966155886650085,0.1468477100133896,-42.740020751953125
13800,0.10639386624097824,-0.09974164515733719,0.14583571255207062,-43.151641845703125
14000,0.10497163236141205,-0.09981712698936462,0.1448533833026886,-43.55817413330078
14200,0.10356166958808899,-0.09986469149589539,0.14386790990829468,-43.95884323120117
14400,0.10217959433794022,-0.09989984333515167,0.14290083944797516,-44.35364532470703
14600,0.10080813616514206,-0.09990990161895752,0.1419305056333542,-44.743595123291016
